"Round","Type Number","Type Name","Statement #","Format / Prompt","Current Statement","Updated Version (your edits)"
"R1 — Likert","1","The Reformer","1","How much does this resonate with you? [1–5]","I feel a moral obligation to meet higher standards than I expect from others.",""
"R1 — Likert","1","The Reformer","2","How much does this resonate with you? [1–5]","I automatically notice what's wrong or could be improved, and feel compelled to fix it.",""
"R1 — Likert","1","The Reformer","3","How much does this resonate with you? [1–5]","I find it hard to relax when I see something that needs correcting or could be done better.",""
"R1 — Likert","2","The Helper","1","How much does this resonate with you? [1–5]","I feel most fulfilled when I'm helping others and making them feel valued.",""
"R1 — Likert","2","The Helper","2","How much does this resonate with you? [1–5]","I naturally tune into others' needs and feelings before attending to my own.",""
"R1 — Likert","2","The Helper","3","How much does this resonate with you? [1–5]","I sense what others need and often find myself offering help before they even ask.",""
"R1 — Likert","3","The Achiever","1","How much does this resonate with you? [1–5]","I feel good about myself when I'm seen as competent and successful.",""
"R1 — Likert","3","The Achiever","2","How much does this resonate with you? [1–5]","I focus on accomplishing goals — it can be hard for me to slow down or do nothing.",""
"R1 — Likert","3","The Achiever","3","How much does this resonate with you? [1–5]","I feel most energized when I'm working toward a meaningful goal and making visible progress.",""
"R1 — Likert","4","The Individualist","1","How much does this resonate with you? [1–5]","I experience emotions more intensely than most and find deep meaning in beauty and self-expression.",""
"R1 — Likert","4","The Individualist","2","How much does this resonate with you? [1–5]","I often feel misunderstood and long to be truly seen for who I am.",""
"R1 — Likert","4","The Individualist","3","How much does this resonate with you? [1–5]","I often feel fundamentally different from others and search for a place where I truly belong.",""
"R1 — Likert","5","The Investigator","1","How much does this resonate with you? [1–5]","I feel drained when others make too many social or emotional demands on me.",""
"R1 — Likert","5","The Investigator","2","How much does this resonate with you? [1–5]","I prefer to understand things thoroughly before I act or share my views.",""
"R1 — Likert","5","The Investigator","3","How much does this resonate with you? [1–5]","I need significant time alone to recharge and I guard my privacy carefully.",""
"R1 — Likert","6","The Loyalist","1","How much does this resonate with you? [1–5]","I frequently anticipate what could go wrong and try to prepare for it.",""
"R1 — Likert","6","The Loyalist","2","How much does this resonate with you? [1–5]","I feel more secure when I have clear expectations and trustworthy people I can rely on.",""
"R1 — Likert","6","The Loyalist","3","How much does this resonate with you? [1–5]","I tend to question whether things will work out and look for reassurance or evidence that they will.",""
"R1 — Likert","7","The Enthusiast","1","How much does this resonate with you? [1–5]","I feel restless or trapped when stuck in routines or limitations.",""
"R1 — Likert","7","The Enthusiast","2","How much does this resonate with you? [1–5]","I'm drawn to new ideas, experiences, and possibilities — I love keeping my options open.",""
"R1 — Likert","7","The Enthusiast","3","How much does this resonate with you? [1–5]","I find it easy to stay positive and reframe difficult situations in a more optimistic light.",""
"R1 — Likert","8","The Challenger","1","How much does this resonate with you? [1–5]","I feel strong and self-reliant, and I rarely let others see when I'm feeling vulnerable.",""
"R1 — Likert","8","The Challenger","2","How much does this resonate with you? [1–5]","I speak directly, dislike weakness, and have no problem taking charge of a situation.",""
"R1 — Likert","8","The Challenger","3","How much does this resonate with you? [1–5]","I naturally push back when I feel someone is trying to control or limit me.",""
"R1 — Likert","9","The Peacemaker","1","How much does this resonate with you? [1–5]","I go out of my way to avoid conflict and keep things peaceful.",""
"R1 — Likert","9","The Peacemaker","2","How much does this resonate with you? [1–5]","I find it easy to see all sides of a situation and to go along with what others want.",""
"R1 — Likert","9","The Peacemaker","3","How much does this resonate with you? [1–5]","I often put off decisions and find myself drifting toward comfort rather than action.",""
"R2 — Rank order","1","The Reformer","1","Rank from most to least true (stem: ""I value..."")","I value doing things the right way and holding myself to high standards.",""
"R2 — Rank order","1","The Reformer","2","Rank from most to least true (stem: ""I value..."")","I value integrity, honesty, and taking responsibility seriously.",""
"R2 — Rank order","1","The Reformer","3","Rank from most to least true (stem: ""I value..."")","I value fairness and upholding principles, even when it's uncomfortable.",""
"R2 — Rank order","1","The Reformer","4","Rank from most to least true (stem: ""I value..."")","I value order, precision, and correcting what's wrong.",""
"R2 — Rank order","1","The Reformer","5","Rank from most to least true (stem: ""I value..."")","I value being morally consistent and beyond reproach.",""
"R2 — Rank order","2","The Helper","1","Rank from most to least true (stem: ""I value..."")","I value being there for others and making them feel truly cared for.",""
"R2 — Rank order","2","The Helper","2","Rank from most to least true (stem: ""I value..."")","I value warmth, generosity, and nurturing the people I love.",""
"R2 — Rank order","2","The Helper","3","Rank from most to least true (stem: ""I value..."")","I value creating deep connections and being someone others can rely on.",""
"R2 — Rank order","2","The Helper","4","Rank from most to least true (stem: ""I value..."")","I value tuning into others' needs and offering help before being asked.",""
"R2 — Rank order","2","The Helper","5","Rank from most to least true (stem: ""I value..."")","I value building meaningful relationships and making others feel seen.",""
"R2 — Rank order","3","The Achiever","1","Rank from most to least true (stem: ""I value..."")","I value achievement, efficiency, and being seen as capable.",""
"R2 — Rank order","3","The Achiever","2","Rank from most to least true (stem: ""I value..."")","I value setting ambitious goals and doing whatever it takes to reach them.",""
"R2 — Rank order","3","The Achiever","3","Rank from most to least true (stem: ""I value..."")","I value productivity, results, and making the most of every opportunity.",""
"R2 — Rank order","3","The Achiever","4","Rank from most to least true (stem: ""I value..."")","I value being recognized for my competence and accomplishments.",""
"R2 — Rank order","3","The Achiever","5","Rank from most to least true (stem: ""I value..."")","I value adapting to what's needed to succeed and excel.",""
"R2 — Rank order","4","The Individualist","1","Rank from most to least true (stem: ""I value..."")","I value authenticity, originality, and deep emotional truth.",""
"R2 — Rank order","4","The Individualist","2","Rank from most to least true (stem: ""I value..."")","I value being truly understood and expressing my unique inner world.",""
"R2 — Rank order","4","The Individualist","3","Rank from most to least true (stem: ""I value..."")","I value depth of feeling and finding meaning in beauty and experience.",""
"R2 — Rank order","4","The Individualist","4","Rank from most to least true (stem: ""I value..."")","I value self-expression and the freedom to show who I really am.",""
"R2 — Rank order","4","The Individualist","5","Rank from most to least true (stem: ""I value..."")","I value intensity, depth, and a sense of personal significance.",""
"R2 — Rank order","5","The Investigator","1","Rank from most to least true (stem: ""I value..."")","I value knowledge, independence, and protecting my inner space.",""
"R2 — Rank order","5","The Investigator","2","Rank from most to least true (stem: ""I value..."")","I value understanding how things work and thinking for myself.",""
"R2 — Rank order","5","The Investigator","3","Rank from most to least true (stem: ""I value..."")","I value privacy, clear boundaries, and the freedom to observe before engaging.",""
"R2 — Rank order","5","The Investigator","4","Rank from most to least true (stem: ""I value..."")","I value competence, self-sufficiency, and not needing others to function.",""
"R2 — Rank order","5","The Investigator","5","Rank from most to least true (stem: ""I value..."")","I value having enough time and space to think things through fully.",""
